transform,total_freq,label_ratio,impact_ratio,fail_num,pass_num,sus_score
"('insert', (), ('neutral', 'neutral', 'neutral', 'neutral', 'neutral'))",17,1.0,0.058823529411764705,2,15,66.08391608391608
"('insert', (), ('neutral', 'neutral', 'neutral'))",26,1.0,0.038461538461538464,1,25,44.42485676509476
"('insert', (), ('neutral', 'neutral', 'neutral', 'neutral'))",14,1.0,0.07142857142857142,2,12,70.57176196032673
"('replace', ('pos',), ('neutral',))",34,1.0,0.029411764705882353,2,32,48.57831325301205
"('replace', ('neutral',), ('neutral',))",205,1.0,0.004878048780487805,12,193,41.0500595200802
"('insert', (), ('neutral', 'exclude', 'neutral', 'exclude', 'exclude', 'pos', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('exclude',), ('neutral',))",89,1.0,0.011235955056179775,5,84,42.31441964598055
"('replace', ('neutral',), ('neutral', 'neutral', 'neutral'))",12,1.0,0.08333333333333333,0,12,44.42485676509476
"('replace', ('neutral', 'neutral', 'neutral', 'neutral', 'neutral'), ('neutral', 'neutral', 'neutral', 'exclude', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'exclude', 'neutral', 'exclude', 'exclude', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('exclude', 'pos'), ('neutral', 'neutral'))",3,1.0,0.3333333333333333,0,3,72.20630372492836
"('replace', ('neutral',), ('neutral', 'neutral', 'neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'neutral', 'exclude', 'neutral', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('neutral',), ('exclude', 'neutral', 'exclude', 'exclude', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'neutral', 'exclude', 'neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'neutral', 'exclude', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral'))",1,1.0,1.0,1,0,95.40937056318032
"('replace', ('neutral',), ('neutral', 'neutral', 'exclude', 'exclude', 'pos', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('exclude', 'neutral'), ('neutral', 'neutral'))",12,1.0,0.08333333333333333,0,12,44.42485676509476
"('replace', ('neutral',), ('neutral', 'neutral', 'exclude', 'exclude', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('exclude', 'pos', 'pos'), ('neutral', 'exclude', 'pos', 'neutral', 'neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'neutral', 'exclude', 'neutral', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('neutral', 'neutral'), ('neutral', 'neutral', 'neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'neutral', 'exclude', 'neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'neutral', 'exclude', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('exclude',), ('neg',))",4,1.0,0.25,1,3,83.86023294509151
"('replace', ('neg',), ('neutral',))",8,1.0,0.125,1,7,72.20630372492836
"('insert', (), ('neutral', 'exclude', 'exclude', 'neutral', 'neutral'))",2,1.0,0.5,0,2,77.59815242494227
"('replace', ('neutral',), ('neutral', 'neutral'))",2,1.0,0.5,0,2,77.59815242494227
"('insert', (), ('neutral', 'exclude', 'exclude', 'neutral', 'pos', 'exclude', 'neutral', 'exclude', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'exclude', 'exclude', 'pos', 'neutral'))",2,1.0,0.5,0,2,77.59815242494227
"('insert', (), ('neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'exclude', 'neutral', 'neutral', 'neutral'))",2,1.0,0.5,0,2,77.59815242494227
"('insert', (), ('neutral', 'exclude', 'neutral', 'neutral', 'neutral', 'exclude', 'exclude', 'pos', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'exclude', 'neutral', 'neutral', 'exclude', 'pos', 'exclude', 'neutral'))",5,1.0,0.2,1,4,80.6077568972411
"('insert', (), ('neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'exclude', 'exclude', 'exclude', 'exclude', 'neg', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'neutral', 'exclude', 'neutral', 'neutral', 'exclude', 'exclude', 'exclude', 'exclude', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'exclude', 'neutral', 'neutral', 'neutral', 'exclude', 'pos', 'exclude', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('exclude', 'neutral'), ('exclude', 'neutral', 'neutral', 'exclude', 'neutral', 'neutral', 'exclude', 'pos', 'exclude', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral',))",70,1.0,0.014285714285714285,2,68,31.12071627045384
"('insert', (), ('neg',))",3,1.0,0.3333333333333333,0,3,72.20630372492836
"('insert', (), ('neutral', 'exclude', 'exclude', 'neutral', 'exclude', 'neutral', 'neutral'))",2,1.0,0.5,0,2,77.59815242494227
"('insert', (), ('neutral', 'exclude', 'exclude', 'neg', 'exclude', 'neutral', 'neutral'))",1,1.0,1.0,1,0,95.40937056318032
"('insert', (), ('neutral', 'neutral', 'neutral', 'exclude', 'neutral', 'neutral', 'neutral', 'exclude', 'exclude', 'neutral', 'exclude', 'neutral', 'neutral', 'neutral', 'exclude', 'neutral', 'neutral', 'exclude', 'neutral', 'exclude', 'exclude', 'neutral', 'neg', 'exclude', 'neutral', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'neutral', 'exclude', 'neg', 'neutral', 'neutral'))",2,1.0,0.5,0,2,77.59815242494227
"('insert', (), ('neutral', 'neg', 'exclude', 'neutral'))",2,1.0,0.5,0,2,77.59815242494227
"('insert', (), ('neutral', 'neutral', 'neutral', 'neutral', 'exclude', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'neutral', 'exclude', 'neutral'))",2,1.0,0.5,0,2,77.59815242494227
"('replace', ('exclude',), ('neutral', 'neutral', 'pos', 'neutral', 'neutral', 'exclude', 'neutral', 'exclude'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('neutral', 'pos'), ('exclude', 'neutral', 'neutral', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('NA',), ('neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('exclude', 'neutral', 'neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'neutral', 'neutral', 'exclude', 'neutral', 'exclude', 'exclude', 'exclude', 'neutral', 'neutral', 'neutral', 'exclude', 'neutral', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('delete', ('neutral', 'neutral', 'exclude', 'exclude', 'exclude', 'pos', 'exclude', 'exclude', 'neutral', 'exclude'), ())",1,1.0,1.0,0,1,83.86023294509151
