transform,total_freq,label_ratio,impact_ratio,fail_num,pass_num,sus_score
"('insert', (), ('dep', 'compound', 'npadvmod', 'compound', 'dobj'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('dep', 'appos', 'punct'))",3,1.0,0.3333333333333333,0,3,72.20630372492836
"('insert', (), ('dep', 'advmod', 'attr', 'attr'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('dep', 'dobj', 'nummod', 'punct'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('dep', 'compound', 'dobj', 'punct'))",2,1.0,0.5,0,2,77.59815242494227
"('insert', (), ('dep', 'ROOT', 'appos'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('dep', 'compound', 'compound', 'npadvmod', 'punct'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('dep', 'acl', 'prep', 'compound', 'pobj'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('ROOT',), ('ROOT',))",56,1.0,0.017857142857142856,8,48,65.62025316455696
"('replace', ('pobj',), ('pobj',))",52,1.0,0.019230769230769232,6,46,60.749031424881615
"('replace', ('conj',), ('conj',))",23,1.0,0.043478260869565216,1,22,47.46880150694608
"('insert', (), ('dep', 'det', 'dobj', 'prep', 'poss', 'pobj', 'punct'))",2,1.0,0.5,0,2,77.59815242494227
"('replace', ('mark',), ('advcl',))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('relcl',), ('relcl',))",7,1.0,0.14285714285714285,0,7,56.50224215246637
"('replace', ('dobj',), ('npadvmod', 'punct', 'dobj'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('compound', 'amod', 'compound', 'pobj', 'acl'), ('compound', 'compound', 'pobj', 'nsubj', 'relcl'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('det', 'ROOT'), ('compound', 'nsubj'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('pobj',), ('pobj', 'dep', 'advmod', 'prep', 'det', 'advmod', 'amod', 'pobj', 'prep', 'amod', 'pobj', 'punct'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('pobj',), ('pobj', 'dep', 'prep', 'compound', 'pobj', 'punct'))",2,1.0,0.5,0,2,77.59815242494227
"('replace', ('advmod',), ('advmod',))",9,1.0,0.1111111111111111,2,7,79.57894736842105
"('insert', (), ('dep', 'mark', 'nsubj', 'punct', 'advcl', 'dobj', 'prep', 'compound', 'pobj', 'punct', 'nsubj', 'relcl', 'prt', 'det', 'npadvmod', 'punct', 'dobj', 'prep', 'det', 'compound', 'compound', 'pobj', 'nsubj', 'relcl', 'amod', 'dobj', 'punct', 'punct'))",1,1.0,1.0,1,0,95.40937056318032
"('replace', ('det', 'nsubj'), ('npadvmod', 'nsubj'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('appos',), ('appos',))",2,1.0,0.5,0,2,77.59815242494227
"('replace', ('nsubj',), ('nsubj',))",28,1.0,0.03571428571428571,3,25,61.519682636557825
"('replace', ('relcl',), ('conj',))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('relcl',), ('attr', 'dep', 'prep', 'compound', 'pobj', 'punct'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('ROOT', 'compound', 'pobj'), ('amod', 'compound', 'nsubj', 'dep', 'advmod', 'prep', 'det', 'advmod', 'amod', 'pobj', 'prep', 'amod', 'pobj', 'punct'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('advmod',), ('nmod',))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('amod', 'ROOT'), ('compound', 'nsubj', 'dep', 'mark', 'nsubj', 'punct', 'advcl', 'dobj', 'prep', 'compound', 'pobj', 'punct', 'nsubj', 'relcl', 'prt', 'det', 'npadvmod', 'punct', 'dobj', 'prep', 'det', 'compound', 'compound', 'pobj', 'nsubj', 'relcl', 'amod', 'dobj', 'punct', 'punct'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('det', 'nsubj'), ('det', 'nsubj'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('attr',), ('attr',))",7,1.0,0.14285714285714285,1,6,74.8051948051948
"('replace', ('pobj',), ('conj',))",2,1.0,0.5,0,2,77.59815242494227
"('insert', (), ('dep', 'prep', 'compound', 'pobj', 'punct'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('conj',), ('compound', 'conj'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('dep', 'nsubj', 'auxpass', 'relcl', 'punct', 'nsubj', 'ROOT', 'dobj', 'punct'))",5,1.0,0.2,1,4,80.6077568972411
"('replace', ('det', 'pobj'), ('pobj', 'advcl'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('dep', 'dep', 'auxpass', 'parataxis', 'punct', 'nsubj', 'ROOT', 'acomp', 'punct'))",4,1.0,0.25,0,4,67.51507032819826
"('insert', (), ('dep', 'nsubjpass', 'auxpass', 'parataxis', 'punct', 'nsubj', 'ROOT', 'dobj', 'punct'))",1,1.0,1.0,0,1,83.86023294509151
