transform,total_freq,label_ratio,impact_ratio,fail_num,pass_num,sus_score
"('insert', (), ('SPACE', 'NOUN', 'NOUN', 'PROPN', 'NOUN'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('SPACE', 'PROPN', 'NUM'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('SPACE', 'NOUN', 'NOUN'))",6,1.0,0.16666666666666666,0,6,59.75103734439834
"('insert', (), ('SPACE', 'ADV', 'ADJ', 'NOUN'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('SPACE', 'NOUN', 'NUM', 'NOUN'))",2,1.0,0.5,0,2,77.59815242494227
"('insert', (), ('SPACE', 'PROPN', 'NOUN', 'PUNCT'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('SPACE', 'PROPN', 'NOUN'))",2,1.0,0.5,0,2,77.59815242494227
"('insert', (), ('SPACE', 'PROPN', 'PROPN', 'PROPN', 'NOUN'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('SPACE', 'VERB', 'ADP', 'PROPN', 'NOUN'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('SPACE', 'NOUN', 'NOUN', 'NOUN'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('VERB',), ('VERB',))",85,1.0,0.011764705882352941,10,75,60.06500541711809
"('replace', ('NOUN',), ('NOUN',))",124,1.0,0.008064516129032258,12,112,54.45252441304799
"('insert', (), ('SPACE', 'DET', 'NOUN', 'ADP', 'PRON', 'NOUN', 'PUNCT'))",2,1.0,0.5,0,2,77.59815242494227
"('replace', ('SCONJ',), ('VERB',))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('NOUN',), ('NOUN', 'PUNCT', 'NOUN'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('NOUN', 'ADJ', 'NOUN', 'NOUN', 'VERB'), ('NOUN', 'NOUN', 'NOUN', 'PRON', 'VERB'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('DET', 'NOUN'), ('PROPN', 'NOUN'))",2,1.0,0.5,0,2,77.59815242494227
"('replace', ('NOUN',), ('NOUN', 'SPACE', 'ADV', 'ADP', 'DET', 'ADV', 'ADJ', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('NOUN',), ('NOUN', 'SPACE', 'ADP', 'NOUN', 'NOUN', 'PUNCT'))",2,1.0,0.5,0,2,77.59815242494227
"('replace', ('ADV',), ('ADV',))",7,1.0,0.14285714285714285,2,5,83.86023294509151
"('insert', (), ('SPACE', 'SCONJ', 'PRON', 'PUNCT', 'VERB', 'PRON', 'ADP', 'PROPN', 'PROPN', 'PUNCT', 'PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'NOUN', 'PRON', 'VERB', 'ADJ', 'NOUN', 'PUNCT', 'PUNCT'))",1,1.0,1.0,1,0,95.40937056318032
"('replace', ('VERB',), ('ADJ',))",3,1.0,0.3333333333333333,0,3,72.20630372492836
"('replace', ('DET', 'NOUN'), ('NOUN', 'NOUN'))",2,1.0,0.5,0,2,77.59815242494227
"('replace', ('PRON',), ('NOUN',))",8,1.0,0.125,1,7,72.20630372492836
"('replace', ('VERB',), ('NOUN', 'SPACE', 'ADP', 'NOUN', 'NOUN', 'PUNCT'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('ADP', 'PROPN', 'PROPN'), ('PROPN', 'NOUN', 'NOUN', 'SPACE', 'ADV', 'ADP', 'DET', 'ADV', 'ADJ', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('ADV',), ('PROPN',))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('VERB', 'NOUN'), ('NOUN', 'NOUN', 'SPACE', 'SCONJ', 'PRON', 'PUNCT', 'VERB', 'PRON', 'ADP', 'PROPN', 'PROPN', 'PUNCT', 'PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'NOUN', 'PRON', 'VERB', 'ADJ', 'NOUN', 'PUNCT', 'PUNCT'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('DET', 'NOUN'), ('DET', 'NOUN'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('PROPN',), ('NOUN',))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('SPACE', 'ADP', 'NOUN', 'NOUN', 'PUNCT'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('NOUN',), ('PROPN', 'PROPN'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('SPACE', 'PRON', 'AUX', 'VERB', 'PUNCT', 'PRON', 'VERB', 'PRON', 'PUNCT'))",11,1.0,0.09090909090909091,1,10,65.39085306519624
"('insert', (), ('SPACE', 'PRON', 'AUX', 'VERB', 'PUNCT', 'PRON', 'AUX', 'ADJ', 'PUNCT'))",9,1.0,0.1111111111111111,0,9,50.960566228513656
"('insert', (), ('SPACE', 'PRON', 'AUX', 'VERB', 'PUNCT', 'PRON', 'VERB', 'PROPN', 'PUNCT'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('SPACE', 'DET', 'NOUN', 'VERB', 'PUNCT', 'PRON', 'AUX', 'ADJ', 'PUNCT'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('SPACE', 'PRON', 'AUX', 'VERB', 'PUNCT', 'PRON', 'PUNCT', 'VERB', 'PUNCT'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('SPACE', 'PRON', 'VERB', 'PUNCT', 'PRON', 'VERB', 'PRON', 'PUNCT'))",13,1.0,0.07692307692307693,2,11,72.20630372492836
"('insert', (), ('SPACE', 'PRON', 'AUX', 'VERB', 'PUNCT', 'PRON', 'AUX', 'PART', 'AUX', 'ADJ', 'PUNCT'))",7,1.0,0.14285714285714285,1,6,74.8051948051948
"('insert', (), ('PROPN', 'NOUN', 'AUX', 'VERB', 'PUNCT', 'PRON', 'AUX', 'PART', 'AUX', 'ADJ', 'PUNCT'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('SPACE', 'DET', 'PROPN', 'VERB', 'PUNCT', 'PRON', 'VERB', 'PRON', 'PUNCT'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('ADP', 'NOUN'), ('PRON', 'VERB', 'SPACE', 'PRON', 'VERB', 'PUNCT', 'PRON', 'VERB', 'PRON', 'PUNCT'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('PUNCT',))",59,1.0,0.01694915254237288,1,58,26.04987724512211
"('replace', ('ADP',), ('VERB',))",5,1.0,0.2,0,5,63.39622641509435
"('insert', (), ('SPACE', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT'))",3,1.0,0.3333333333333333,1,2,87.38621586475944
"('replace', ('ADP',), ('PROPN',))",8,1.0,0.125,0,8,53.58851674641147
