transform,total_freq,label_ratio,impact_ratio,fail_num,pass_num,sus_score
AddNegativeLink,33,1.0,1.0,0,33,24.17638114546376
AddNeutralEmoji,43,1.0,1.0,7,36,70.0955180014695
ChangeHypernym,70,1.0,1.0,7,63,57.53920386007238
TextMix,100,1.0,1.0,7,93,47.987927565392354
InsertPositivePhrase,50,1.0,1.0,5,45,58.57552189930413
RandomCharSwap,20,1.0,1.0,0,20,34.04710920770878
RemovePositiveEmoji,20,1.0,0.65,0,20,34.04710920770878
InsertPunctuationMarks,20,1.0,1.0,0,20,34.04710920770878
ChangeNumber,30,1.0,0.9,3,27,60.76433121019108
WordMix,30,1.0,1.0,5,25,71.44283574638042
AddPositiveEmoji,60,1.0,1.0,3,57,42.780269058295964
ChangeName,40,1.0,1.0,3,37,53.296089385474865
AddNegativeEmoji,50,1.0,1.0,2,48,39.8940618901589
ExpandContractions,40,1.0,1.0,1,39,35.151068533529845
ChangeAntonym,40,1.0,0.8,11,29,81.26064735945486
RandomSwap,30,1.0,0.9666666666666667,6,24,75.21964406397838
RemoveNeutralEmoji,50,1.0,1.0,2,48,39.8940618901589
SentMix,70,1.0,1.0,5,65,49.635796045785646
WordDeletion,10,1.0,1.0,2,8,78.32512315270937
ChangeSynonym,20,1.0,1.0,0,20,34.04710920770878
ChangeLocation,10,1.0,1.0,5,5,91.55470249520154
InsertNegativePhrase,30,1.0,1.0,6,24,75.21964406397838
RemoveNegativeEmoji,28,1.0,0.6071428571428571,0,28,27.210496292070737
Demojify,10,1.0,0.0,0,10,49.63579604578564
AddNegation,20,1.0,0.65,1,19,52.017448200654314
RandomInsertion,10,1.0,1.0,0,10,49.63579604578564
ImportLinkText,30,1.0,0.8666666666666667,5,25,71.44283574638042
RandomCharDel,10,1.0,1.0,0,10,49.63579604578564
HomoglyphSwap,20,1.0,1.0,0,20,34.04710920770878
ChangeHyponym,18,1.0,0.9444444444444444,0,18,36.32901751713632
RandomCharInsert,10,1.0,1.0,0,10,49.63579604578564
AddPositiveLink,10,1.0,1.0,0,10,49.63579604578564
ContractContractions,10,1.0,1.0,2,8,78.32512315270937
