transform,total_freq,label_ratio,impact_ratio,fail_num,pass_num,sus_score
"('AddNegativeLink', 0.0, 0.0)",13,1.0,0.0,0,13,43.64135407136322
"('AddNeutralEmoji', 0.0, 0.0)",6,1.0,0.0,0,6,60.76433121019108
"('AddNegativeLink', 1.0, 0.9)",20,1.0,0.0,0,20,34.04710920770878
"('AddNeutralEmoji', 1.0, 0.9)",7,1.0,0.0,0,7,57.53920386007238
"('ChangeHypernym', 1.0, 1.0)",17,1.0,0.0,2,15,67.02576112412177
"('TextMix', 1.0, 1.0)",22,1.0,0.0,1,21,49.63579604578564
"('ChangeHypernym', 0.0, 0.7000000000000001)",3,1.0,0.0,1,2,87.84530386740332
"('TextMix', 0.0, 0.7000000000000001)",7,1.0,0.0,2,5,84.42477876106194
"('ChangeHypernym', 0.0, 0.1)",1,1.0,0.0,0,1,84.42477876106194
"('TextMix', 0.0, 0.1)",2,1.0,0.0,0,2,78.32512315270937
"('ChangeHypernym', 0.0, 0.30000000000000004)",2,1.0,0.0,0,2,78.32512315270937
"('TextMix', 0.0, 0.30000000000000004)",4,1.0,0.0,0,4,68.4361549497848
"('InsertPositivePhrase', 0.0, 0.30000000000000004)",1,1.0,0.0,0,1,84.42477876106194
"('RandomCharSwap', 0.0, 0.30000000000000004)",1,1.0,0.0,0,1,84.42477876106194
"('InsertPositivePhrase', 1.0, 1.0)",31,1.0,0.0,0,31,25.305039787798407
"('RandomCharSwap', 1.0, 1.0)",6,1.0,0.0,0,6,60.76433121019108
"('InsertPositivePhrase', 0.0, 0.5)",2,1.0,0.0,0,2,78.32512315270937
"('RandomCharSwap', 0.0, 0.5)",2,1.0,0.0,0,2,78.32512315270937
"('InsertPositivePhrase', 0.0, 0.7000000000000001)",1,1.0,0.0,0,1,84.42477876106194
"('RandomCharSwap', 0.0, 0.7000000000000001)",1,1.0,0.0,0,1,84.42477876106194
"('RemovePositiveEmoji', 1.0, 1)",12,1.0,0.0,0,12,45.471877979027646
"('InsertPunctuationMarks', 1.0, 1)",3,1.0,0.0,0,3,73.04747320061256
"('RemovePositiveEmoji', 0.0, 0)",8,1.0,0.0,0,8,54.63917525773196
"('InsertPunctuationMarks', 0.0, 0)",7,1.0,0.0,0,7,57.53920386007238
"('TextMix', 0.0, 0.0)",33,1.0,0.0,0,33,24.17638114546376
"('ChangeNumber', 0.0, 0.0)",7,1.0,0.0,0,7,57.53920386007238
"('TextMix', 1.0, 0.30000000000000004)",5,1.0,0.0,1,4,81.26064735945485
"('ChangeNumber', 1.0, 0.30000000000000004)",1,1.0,0.0,1,0,95.59118236472945
"('TextMix', 1.0, 0.7000000000000001)",10,1.0,0.0,2,8,78.32512315270937
"('ChangeNumber', 1.0, 0.7000000000000001)",5,1.0,0.0,2,3,89.04791537025513
"('TextMix', 0.0, 0.5)",5,1.0,0.0,1,4,81.26064735945485
"('ChangeNumber', 0.0, 0.5)",1,1.0,0.0,0,1,84.42477876106194
"('TextMix', 1.0, 0.9)",3,1.0,0.0,0,3,73.04747320061256
"('ChangeNumber', 1.0, 0.9)",1,1.0,0.0,0,1,84.42477876106194
"('AddNeutralEmoji', 1.0, 1.0)",17,1.0,0.0,1,16,56.051703877790835
"('WordMix', 1.0, 1.0)",15,1.0,0.0,1,14,59.1078066914498
"('AddNeutralEmoji', 0.0, 0.1)",1,1.0,0.0,0,1,84.42477876106194
"('WordMix', 0.0, 0.1)",2,1.0,0.0,0,2,78.32512315270937
"('AddPositiveEmoji', 0.0, 0.1)",21,1.0,0.0,1,20,50.79872204472843
"('ChangeName', 0.0, 0.1)",7,1.0,0.0,1,6,75.59429477020603
"('AddPositiveEmoji', 1.0, 1.0)",37,1.0,0.0,2,35,47.462686567164184
"('ChangeName', 1.0, 1.0)",16,1.0,0.0,1,15,57.53920386007238
"('AddNegativeEmoji', 1.0, 0.9)",23,1.0,0.0,2,21,59.649854105877445
"('ChangeHypernym', 1.0, 0.9)",18,1.0,0.0,2,16,65.67232675539239
"('AddNegativeEmoji', 0.0, 0.0)",26,1.0,0.0,0,26,28.64864864864865
"('ChangeHypernym', 0.0, 0.0)",21,1.0,0.0,0,21,33.01038062283737
"('ExpandContractions', 0.0, 0.1)",10,1.0,0.0,0,10,49.63579604578564
"('ExpandContractions', 1.0, 1.0)",21,1.0,0.0,1,20,50.79872204472843
"('ChangeAntonym', 1.0, 1)",8,1.0,0.0,0,8,54.63917525773196
"('RandomSwap', 1.0, 1)",11,1.0,0.0,1,10,66.3421418636996
"('ChangeAntonym', 0.0, 0.30000000000000004)",15,1.0,0.0,4,11,81.87435633367662
"('RandomSwap', 0.0, 0.30000000000000004)",5,1.0,0.0,1,4,81.26064735945485
"('ChangeAntonym', 1.0, 0.7000000000000001)",14,1.0,0.0,7,7,91.55470249520154
"('RandomSwap', 1.0, 0.7000000000000001)",4,1.0,0.0,3,1,95.59118236472945
"('ChangeAntonym', 0.0, 0)",3,1.0,0.0,0,3,73.04747320061256
"('RandomSwap', 0.0, 0)",3,1.0,0.0,0,3,73.04747320061256
"('RemoveNeutralEmoji', 0.0, 0.0)",8,1.0,0.0,0,8,54.63917525773196
"('RemoveNeutralEmoji', 0.0, 0.5)",3,1.0,0.0,0,3,73.04747320061256
"('RemoveNeutralEmoji', 0.0, 0.30000000000000004)",1,1.0,0.0,0,1,84.42477876106194
"('RemoveNeutralEmoji', 1.0, 0.7000000000000001)",2,1.0,0.0,0,2,78.32512315270937
"('RemoveNeutralEmoji', 1.0, 0.5)",6,1.0,0.0,0,6,60.76433121019108
"('TextMix', 1.0, 0.5)",7,1.0,0.0,0,7,57.53920386007238
"('RemoveNeutralEmoji', 1.0, 1.0)",18,1.0,0.0,0,18,36.32901751713632
"('SentMix', 0.0, 0.7000000000000001)",5,1.0,0.0,0,5,64.37246963562752
"('RemoveNeutralEmoji', 0.0, 0.7000000000000001)",2,1.0,0.0,0,2,78.32512315270937
"('SentMix', 0.0, 0.0)",9,1.0,0.0,0,9,52.017448200654314
"('SentMix', 1.0, 0.5)",8,1.0,0.0,0,8,54.63917525773196
"('SentMix', 1.0, 0.7000000000000001)",3,1.0,0.0,0,3,73.04747320061256
"('SentMix', 1.0, 0.30000000000000004)",4,1.0,0.0,0,4,68.4361549497848
"('RemoveNeutralEmoji', 1.0, 0.30000000000000004)",2,1.0,0.0,0,2,78.32512315270937
"('SentMix', 0.0, 0.5)",5,1.0,0.0,2,3,89.04791537025513
"('WordDeletion', 0.0, 0.1)",1,1.0,0.0,0,1,84.42477876106194
"('WordDeletion', 0.0, 0.0)",1,1.0,0.0,0,1,84.42477876106194
"('WordDeletion', 1.0, 1.0)",3,1.0,0.0,0,3,73.04747320061256
"('WordDeletion', 1.0, 0.9)",1,1.0,0.0,0,1,84.42477876106194
"('WordDeletion', 1.0, 0.7000000000000001)",3,1.0,0.0,2,1,94.20671494404212
"('TextMix', 0.0, 0.9)",1,1.0,0.0,0,1,84.42477876106194
"('WordDeletion', 0.0, 0.9)",1,1.0,0.0,0,1,84.42477876106194
"('ChangeSynonym', 0.0, 0.0)",2,1.0,0.0,0,2,78.32512315270937
"('ChangeSynonym', 1.0, 1.0)",10,1.0,0.0,0,10,49.63579604578564
"('ChangeSynonym', 0.0, 0.7000000000000001)",1,1.0,0.0,0,1,84.42477876106194
"('ChangeSynonym', 0.0, 0.5)",1,1.0,0.0,0,1,84.42477876106194
"('ChangeSynonym', 1.0, 0.5)",1,1.0,0.0,0,1,84.42477876106194
"('SentMix', 1.0, 1.0)",28,1.0,0.0,2,26,54.63917525773196
"('ChangeNumber', 1.0, 1.0)",8,1.0,0.0,0,8,54.63917525773196
"('SentMix', 1.0, 0.1)",3,1.0,0.0,0,3,73.04747320061256
"('ChangeNumber', 1.0, 0.1)",1,1.0,0.0,0,1,84.42477876106194
"('ChangeNumber', 1.0, 0.5)",2,1.0,0.0,0,2,78.32512315270937
"('SentMix', 0.0, 0.30000000000000004)",3,1.0,0.0,0,3,73.04747320061256
"('ChangeNumber', 0.0, 0.30000000000000004)",4,1.0,0.0,0,4,68.4361549497848
"('AddPositiveEmoji', 0.0, 0.30000000000000004)",2,1.0,0.0,0,2,78.32512315270937
"('ChangeName', 0.0, 0.30000000000000004)",3,1.0,0.0,0,3,73.04747320061256
"('AddNegativeEmoji', 1.0, 0.7000000000000001)",1,1.0,0.0,0,1,84.42477876106194
"('ChangeHypernym', 1.0, 0.7000000000000001)",2,1.0,0.0,0,2,78.32512315270937
"('ChangeLocation', 0.0, 0.0)",3,1.0,0.0,0,3,73.04747320061256
"('InsertNegativePhrase', 0.0, 0.0)",13,1.0,0.0,0,13,43.64135407136322
"('ChangeLocation', 1.0, 0.9)",7,1.0,0.0,5,2,95.59118236472945
"('InsertNegativePhrase', 1.0, 0.9)",17,1.0,0.0,6,11,86.34600465477115
"('RemoveNegativeEmoji', 0.0, 0)",8,1.0,0.0,0,8,54.63917525773196
